,tDept,tSid,institution_name,tFname,tMiddlename,tLname,tid,tNumRatings,rating_class,contentType,categoryType,overall_rating,Comments,Tags
0,Philosophy,780,Princeton University,Uriel,,Abulof,2608286,0,zero,TEACHER,PROFESSOR,N/A,[],[]
1,Art History,780,Princeton University,Al,,Acres,336888,11,good,TEACHER,PROFESSOR,4.7,"['Professor Acres is incredible--friendly, knowledgeable, & passionate. He knows the material well and shares his enthusiasm for it with the class. He kept lectures upbeat/interesting, and I really learned from him. Heavy memorization of pieces, but he leaves room for creativity in essays. I only wish I had been able to get to know him better!', 'He is an amazing professor- I definitely recommend him', 'Great!', 'Awesome', ""Al is an absolutely great professor. His seminar was the most engaging I had at Princeton--and I studied with some of the top people. He is meticulously well-prepared, rigorous, and he really cares about the material he teaches. He also cares about his students. If you have a chance to study with this man, don't miss it. A great teacher!"", 'Now at Georgetown, he is the prof that got me interested in art history. very clear, easy to understand and practical. all the material is in the lectures so if you go to class then you don;t have to read. hes very well prepared and always willing to meet for help. when he shows you around the NGA you can tell how much he loves the material- great!', ""Not only the most helpful, thought-provoking, and friendly professor I've had on a personal level in my life, but an eloquent lecturer who really cares about his students and the material. Whichever school he ends up at will be very, very lucky. He makes me want to continue with my studies and go to graduate school, no doubt about it."", 'One of the BEST professors on campus. Dynamic, engaging and brilliant. The art history department will not find a better Northern Ren prof and they will regret losing him. Take a class with him while you can!', ""Awesome professor. It makes me sad he didn't get tenure."", 'AL IS THE BEST PROF EVER! I LOVE HISTORY BECAUSE OF HIM! I ALSO HAD A LOT OF FUN ON THE CRUISE! :)', 'Systematic and well-prepared, Acres is a wonderful professor']","['Amazing lectures', 'Gives good feedback', 'Inspirational', 'Caring', 'Respected', 'Inspirational', 'Amazing lectures', 'Caring', 'Gives good feedback', 'Respected', 'Amazing lectures']"
2,Economics,780,Princeton University,Alicia,,Adsera,1695875,3,poor,TEACHER,PROFESSOR,1.8,"['Extremely boring lectures, poor teaching.', 'Made me lose my interest in Economics.. basically self-taught the entire course, going to lecture was pretty pointless.', 'strong latin accent and very fast speech requires strict attention but still very very hard to fully understand even with microphone on. Young and very attractive and very smart and prepared.']",[]
3,Engineering,780,Princeton University,Ilhan,,Aksay,2020549,1,good,TEACHER,PROFESSOR,5.0,"[""Professor Aksay was undoubtedly the best professor I've had so far at Princeton. CBE Thermodynamics is an insanely hard class, but he put an incredible amount of effort into teaching, and it really showed. His lectures are fantastic, HW assignments are hard but helpful, and exams are extremely fair. He also handpicks actually useful TA's.""]",[]
4,Architecture,780,Princeton University,Amale,,Andros,1348710,1,poor,TEACHER,PROFESSOR,1.0,[''],[]
5,Languages,780,Princeton University,Saul,,Anton,818560,2,good,TEACHER,PROFESSOR,3.8,"[""Good guy; can be difficult to understand what he's looking for at times.  Very passionate about his subject.  Frustrated by immaturity (very understandably). Will challenge you to push yourself."", ""nice guy.  hard grader.  can sometimes be a little abstract and hard to understand exactly what he's looking for but he'll keep trying to answer your question.""]",[]
6,Computer Science,780,Princeton University,Andrew ,,Appel,2016822,2,good,TEACHER,PROFESSOR,3.5,"['very hard lot of homework', 'The material is super interesting, but the class is pretty tough. ']",[]
7,Sociology,780,Princeton University,Elizabeth,,Armstrong,1014985,0,zero,TEACHER,PROFESSOR,N/A,[],[]
8,English,780,Princeton University,Oliver,,Arnold,819506,0,zero,TEACHER,PROFESSOR,N/A,[],[]
9,Computer Science,780,Princeton University,Sanjeev,,Arora,568904,4,average,TEACHER,PROFESSOR,2.5,"['Excellent', 'No Comments', 'ick', 'No Comments']",[]
10,Art History,780,Princeton University,Nathan,,Arrington,1629652,0,zero,TEACHER,PROFESSOR,N/A,[],[]
11,Fine Arts,780,Princeton University,Eve,,Ascheim,228573,6,good,TEACHER,PROFESSOR,4.0,"['What a great woman. She is loaded with advice, and has great discussions. Ask her about her family, or her art. She is awesome with lines!', 'What a great woman. She is loaded with advice, and has great discussions. Ask her about her family, or her art. She is awesome with lines!', ""She is dedicated to teach, gives great feedback, helpful and caring. (Never exaggerates any though on your piece, good or bad, she comments calmly, doesn't feed your ego, doesn't make you feel cheap.) She wants you to feel free and go with your instincts. Within that she helps you to develop yourself as an artist!"", 'Boring.', ""Great course! (Intro to Drawing) It helped me develop my skills. Eve is kind of 'out there' very much a fan of abstract art, so be prepared to interpret. The trips were great, and she's very enthusiastic."", 'ONE SEXY TEACHER!!', ""Quite the eccentric woman. Keep an eye on her pants, they're wild! Good course, great advice.""]","['Gives good feedback', 'Inspirational', 'Hilarious', 'Gives good feedback', 'Inspirational', 'Hilarious']"
12,Fine Arts,780,Princeton University,Eve,,Aschheim,2568426,0,zero,TEACHER,PROFESSOR,N/A,[],[]
13,Writing,780,Princeton University,Ali,,Aslam,1526745,4,average,TEACHER,PROFESSOR,2.7,"['unclear about grading criteria, gives vague feedback and assigns ancient readings. Not recommended!', 'Amazing professor. Really cares', 'Very poor course. It was all fluff, mere jargon, no substance, no analytical reasoning. Good for posers though.', 'Great teacher. Very down to Earth, yet intelligent at the same time. Did a great job stimulating conversation and thought. A little sassy at times (good thing). Take a class with him if you can. He made writing seminar both worthwhile and enjoyable.']","['Get ready to read', 'Participation matters', 'Gives good feedback', 'Get ready to read']"
14,Physics,780,Princeton University,Robert,H,Austin,2464537,0,zero,TEACHER,PROFESSOR,N/A,[],[]
15,Economics,780,Princeton University,Dixit,,Avinash,908390,3,good,TEACHER,PROFESSOR,5.0,"['this is from a couple years ago - he no longer teaches.  I was just reflecting on how such an insanely gifted and hardworking man still took the time to be a wonderful teacher.', 'Professor Avinosh is very helpful. Clarity is apparent in his classroom. But....the best part of being in class is looking at his beautiful face.', 'No Comments']",[]
16,Music,780,Princeton University,Milton,,Babbitt,625689,1,good,TEACHER,PROFESSOR,5.0,['Absolute genius.'],[]
